district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Natchitoches,22069,1,2002,-1.425275879,0.225516615,1.87630911,0,58.3694555,0.276653013,4.083196288
De Soto,22031,1,2002,-1.177126796,0.122730248,1.422587292,0,56.37366021,0.278954057,3.590540306
Caddo,22017,1,2002,-1.143930086,0.396199413,1.936328911,0,55.49841382,0.288412113,3.073838815
Bossier,22015,1,2002,-1.324218018,0.153742952,1.631703922,0,55.1639249,0.286070118,3.035118906
Webster,22119,1,2002,-2.074568968,-0.293784879,1.486999211,0,55.33438576,0.277591408,3.096913509
Lafourche,22057,1,2002,0.907434371,3.403381018,5.899327666,21.12685223,73.33433579,0.213945683,7.252003108
Terrebonne,22109,1,2002,-0.190001836,2.610841629,5.411685093,22.89827209,73.31067675,0.208084507,8.624176631
Ascension,22005,1,2002,-0.957255362,1.133558188,3.224371738,13.74596476,54.76057686,0.27989523,5.309234221
Iberville,22047,1,2002,-0.68343476,1.142305541,2.968045841,7.043248278,57.77511013,0.284545636,5.393913485
West Baton Rouge,22121,1,2002,-0.376617605,1.16386612,2.704349845,3.414553735,58.36246877,0.296344737,4.992273768
Pointe Coupee,22077,1,2002,-0.330362396,1.09885823,2.528078857,0.934995738,60.72354622,0.297346897,4.904231273
East Baton Rouge,22033,1,2002,-0.865341349,0.967419112,2.800179573,3.889549766,57.67159412,0.29266185,4.981720168
West Feliciana,22125,1,2002,-1.28466619,0.46870565,2.22207749,0.557232727,61.08610735,0.283975265,4.948068289
East Feliciana,22037,1,2002,-1.95927729,0.135038585,2.229354459,0.982673129,59.50376402,0.282792695,4.997054952
Rapides,22079,1,2002,-1.354199957,0.329394882,2.012989722,0,62.22336957,0.262675423,5.151488067
Grant,22043,1,2002,-1.347619038,0.227717909,1.803054856,0,59.08610196,0.276209554,4.486033158
Concordia,22029,1,2002,-1.577783589,0.103886301,1.785556191,0.0034284,59.68579265,0.278529934,4.771869808
St. Helena,22091,1,2002,-2.186025476,0.22153547,2.629096417,2.206441775,58.92039403,0.285924771,5.058534261
Livingston,22063,1,2002,-1.294641018,0.854260566,3.00316215,8.925001182,52.82886767,0.298394115,5.157853386
Vernon,22115,1,2002,-1.599732635,0.410590903,2.420914442,0,61.53464161,0.265450042,5.197743238
Beauregard,22011,1,2002,-0.365125834,1.358168757,3.081463348,0,61.4071918,0.283606404,5.187001428
St. Martin,22099,1,2002,-0.982700183,1.139288352,3.261276886,6.709904369,59.88053984,0.286770897,5.734344109
St. Mary,22101,1,2002,-1.321594822,1.277553984,3.876702791,15.65904598,68.55897982,0.237482126,7.973175222
Iberia,22045,1,2002,-1.173134036,1.97617327,5.125480576,6.451766476,70.75639663,0.238133814,8.262091933
Vermilion,22113,1,2002,-1.137244085,1.443084445,4.023412976,2.543366132,67.97193526,0.256459342,7.822988178
Acadia,22001,1,2002,-0.16634116,1.380346679,2.927034517,0.847296231,61.65705699,0.282277352,5.642645665
Lafayette,22055,1,2002,-0.362978055,1.568803378,3.500584811,1.574114527,60.48515685,0.296537082,5.572497961
St. Landry,22097,1,2002,0.196697779,1.63591124,3.0751247,0.408724385,60.15574661,0.310874445,5.191340563
Calcasieu,22019,1,2002,-0.09948305,1.661792537,3.423068123,0.042658642,59.57486237,0.293430196,5.553754032
Jefferson Davis,22053,1,2002,0.181721385,1.654661451,3.127601517,0.484603401,60.65201301,0.292195026,5.591626845
Cameron,22023,1,2002,-0.618562865,2.361886447,5.34233576,0.489056808,66.31320779,0.276738818,7.451607123
Union,22111,1,2002,-3.175399282,-0.46420725,2.246984781,0,53.98925167,0.295614041,3.309233863
Lincoln,22061,1,2002,-2.63578096,-0.392874504,1.850031951,0,55.00103119,0.278187881,3.626419804
Ouachita,22073,1,2002,-2.558366501,-0.460430683,1.637505135,0,56.0576915,0.272756774,3.881805446
Morehouse,22067,1,2002,-2.805036103,-0.336086276,2.132863552,0,53.73398603,0.310618251,3.769695491
Jefferson,22051,1,2002,2.062894705,4.167509956,6.272125208,19.47810498,73.97763155,0.219624303,7.071820734
St. Charles,22089,1,2002,0.94552904,2.640036988,4.334544935,19.06732786,69.7194534,0.245837481,5.911461409
Plaquemines,22075,1,2002,4.11456481,6.662475591,9.210386373,21.62082701,78.89103128,0.16443822,9.274029542
Orleans,22071,1,2002,0.907372517,3.064313498,5.221254479,17.91192621,70.24594991,0.248461275,6.987243961
St. Bernard,22087,1,2002,0.935352605,4.309354217,7.683355828,19.18643255,74.55954353,0.204745032,8.249846423
St. Tammany,22103,1,2002,-1.378205844,1.200766096,3.779738037,15.48852476,63.93334445,0.239408604,6.523114742
St. John the Baptist,22095,1,2002,0.545765653,2.146816092,3.747866532,17.09203955,60.45937329,0.268727332,5.793692068
St. James,22093,1,2002,-0.69543307,1.400857146,3.497147363,18.11714064,57.23443208,0.274684395,5.618624737
Washington,22117,1,2002,-2.432142937,0.095740195,2.623623327,7.431488219,60.63314476,0.275217627,5.072871223
Tangipahoa,22105,1,2002,-1.773354805,0.555775765,2.884906335,8.57729157,53.60537356,0.299286686,5.216091414
Jackson,22049,1,2002,-2.616689993,-0.527281702,1.562126588,0,56.28374142,0.272032096,4.17080801
Richland,22083,1,2002,-2.255946958,-0.381494753,1.492957452,0,55.89490674,0.282198676,3.814977464
West Carroll,22123,1,2002,-2.313855443,-0.162947464,1.987960514,0,53.55248063,0.317574497,3.961755757
Franklin,22041,1,2002,-2.169284998,-0.33734343,1.494598138,0,58.02210934,0.275931912,3.994365284
Caldwell,22021,1,2002,-2.346401368,-0.551209404,1.243982559,0,56.7050835,0.268066966,4.265203134
Winn,22127,1,2002,-2.192834956,-0.361500073,1.46983481,0,58.9161418,0.262486061,4.26204398
Bienville,22013,1,2002,-1.954622848,-0.279602996,1.395416857,0,55.70150609,0.273935541,3.383438648
Red River,22081,1,2002,-1.827060834,-0.198848358,1.429364118,0,57.20621221,0.272974138,3.530030704
Sabine,22085,1,2002,-2.104625317,-0.047847609,2.008930099,0,57.89686169,0.275317529,4.430760663
Claiborne,22027,1,2002,-3.292130458,-0.814395193,1.663340071,0,54.7216675,0.277336436,2.982839345
Allen,22003,1,2002,0.003962908,1.406551532,2.809140155,0.001166363,61.45935179,0.286360779,5.449069589
Assumption,22007,1,2002,-1.189943049,1.048650701,3.287244452,18.11837364,60.02605132,0.266080317,5.947207407
Avoyelles,22009,1,2002,-1.129021397,0.409235394,1.947492185,0,60.52702409,0.277828077,4.896501684
Evangeline,22039,1,2002,-0.376338767,1.127070077,2.63047892,0.021072877,61.70346142,0.283822572,5.429145395
Catahoula,22025,1,2002,-1.894168121,-0.11784265,1.658482822,0,59.73650806,0.272321605,4.603768889
LaSalle,22059,1,2002,-1.809478315,-0.162063136,1.485352043,0,59.68397363,0.266621723,4.554135538
Tensas,22107,1,2002,-2.104140558,-0.302067738,1.500005083,0,59.0232448,0.274348523,4.245428429
Madison,22065,1,2002,-2.086333242,-0.166272492,1.753788259,0,58.08067412,0.29275345,3.961730457
East Carroll,22035,1,2002,-2.105795325,-0.07811059,1.949574144,0,54.89046931,0.318935691,3.974747626
Natchitoches,22069,2,2002,-2.672383631,0.725814137,4.124011905,0,51.07449041,0.373309677,4.675144642
De Soto,22031,2,2002,-3.736377414,-0.23641173,3.263553954,0,47.88619849,0.343722253,4.119234834
Caddo,22017,2,2002,-4.008150652,-0.595849567,2.816451518,0,48.00250232,0.333091229,4.17444424
Bossier,22015,2,2002,-3.737481992,-0.546760844,2.643960304,0,47.74764178,0.336602038,4.143956798
Webster,22119,2,2002,-4.05401736,-0.682074167,2.689869025,0,47.94733798,0.339800117,4.230791593
Lafourche,22057,2,2002,-0.490176805,2.39105956,5.272295926,0.837393483,75.34657831,0.256960885,5.86804974
Terrebonne,22109,2,2002,-0.954065476,2.151575278,5.257216032,0.71453184,73.11021603,0.265817639,7.041437852
Ascension,22005,2,2002,-1.273939169,1.200726743,3.675392656,0.026138188,66.98286369,0.305413843,4.270848845
Iberville,22047,2,2002,-0.947279182,1.610060084,4.167399349,0,63.07964116,0.333252272,4.292227742
West Baton Rouge,22121,2,2002,-0.695464459,1.964792044,4.625048548,0,59.63338766,0.357409107,5.005316515
Pointe Coupee,22077,2,2002,-0.620222275,2.177972936,4.976168146,0,53.41267802,0.375211744,4.868217497
East Baton Rouge,22033,2,2002,-1.065466127,1.660377968,4.386222062,0.008409961,62.35135682,0.342805155,4.911413978
West Feliciana,22125,2,2002,-1.252413288,1.747557115,4.747527517,0,53.53017538,0.371053825,5.264262702
East Feliciana,22037,2,2002,-2.040962094,1.02618943,4.093340954,0.157584893,58.87026559,0.342269492,5.259604701
Rapides,22079,2,2002,-1.667016003,1.474288568,4.615593139,0,53.68422667,0.371715456,5.23377128
Grant,22043,2,2002,-1.895861691,1.27541982,4.446701331,0,51.31614939,0.394547163,4.894093719
Concordia,22029,2,2002,-1.535320096,1.477679706,4.490679508,0,51.71159379,0.38819686,5.078157611
St. Helena,22091,2,2002,-2.550546823,0.587769024,3.726084872,1.075481149,66.28780891,0.310734573,5.162865681
Livingston,22063,2,2002,-1.67483887,1.007559914,3.689958699,0.57722219,64.69645124,0.316168468,4.879772966
Vernon,22115,2,2002,-2.568918955,1.071124101,4.711167158,0,54.09714576,0.361603932,5.032654638
Beauregard,22011,2,2002,-1.597265235,1.850455131,5.298175497,0,55.44672429,0.362005859,4.648202716
St. Martin,22099,2,2002,-1.28977814,1.509971349,4.309720839,2.19E-04,61.66272442,0.337691048,4.537617996
St. Mary,22101,2,2002,-1.711518932,1.185576062,4.082671056,0.057132604,69.84778733,0.281210524,6.319700758
Iberia,22045,2,2002,-1.532972372,1.897051481,5.327075334,0,69.08831462,0.292702822,6.560001844
Vermilion,22113,2,2002,-1.758283697,1.577002892,4.91228948,0,63.65740288,0.324087128,5.978216942
Acadia,22001,2,2002,-0.778123787,2.112100641,5.002325069,0.02332219,56.40661075,0.365982235,4.708215092
Lafayette,22055,2,2002,-0.77127599,2.122400772,5.016077535,0,56.58804778,0.369172587,4.80001267
St. Landry,22097,2,2002,-0.396130771,2.583285181,5.562701134,0,52.80993379,0.396015482,5.104799774
Calcasieu,22019,2,2002,-1.257213739,2.225751934,5.708717607,0,56.18044265,0.371569226,4.169743664
Jefferson Davis,22053,2,2002,-0.63905482,2.290662347,5.220379513,0.019579911,56.01135709,0.368275566,4.385278268
Cameron,22023,2,2002,-1.258299097,2.60693097,6.472161037,0,61.02440683,0.354076623,5.694566206
Union,22111,2,2002,-2.933813457,0.255532947,3.444879351,0,46.19006203,0.406703858,4.379034017
Lincoln,22061,2,2002,-2.965140227,0.266137122,3.497414471,0,49.26653531,0.390326006,4.607714594
Ouachita,22073,2,2002,-2.594327611,0.514746663,3.623820937,0,50.3329795,0.39698131,4.730689182
Morehouse,22067,2,2002,-2.229189881,0.600413008,3.430015896,0,44.32425455,0.428069887,4.638850501
Jefferson,22051,2,2002,0.568127017,3.04415778,5.520188542,1.161263136,77.82919952,0.252938896,5.978852424
St. Charles,22089,2,2002,0.032180428,2.133015196,4.233849964,0.637943345,74.27193092,0.281692882,4.549008687
Plaquemines,22075,2,2002,1.768213476,4.981810246,8.195407016,0.526598171,82.38801782,0.193007447,8.770998066
Orleans,22071,2,2002,0.445130387,2.61796437,4.790798353,1.292426598,77.87219714,0.26325807,6.504429729
St. Bernard,22087,2,2002,-0.011395894,3.18242066,6.376237214,1.594846044,80.26745434,0.188183409,7.856656774
St. Tammany,22103,2,2002,-1.723680214,1.065627972,3.854936159,0.648420296,76.20105724,0.235167861,6.65340999
St. John the Baptist,22095,2,2002,0.033508423,1.937527749,3.841547075,0.398724976,71.80333428,0.28661573,4.611223749
St. James,22093,2,2002,-1.039588314,1.246150865,3.531890043,0.053828264,68.099633,0.299472384,4.081289601
Washington,22117,2,2002,-2.89549359,0.1618733,3.21924019,0.685210614,70.83541037,0.278896859,5.259291129
Tangipahoa,22105,2,2002,-2.256345482,0.645898337,3.548142157,1.367405695,65.49009991,0.306738604,5.081430766
Jackson,22049,2,2002,-3.037989877,0.347978487,3.73394685,0,50.27761499,0.392385435,4.835258385
Richland,22083,2,2002,-2.04477414,0.727038408,3.498850955,0,47.98242233,0.406702414,4.736661699
West Carroll,22123,2,2002,-1.762590532,0.800065792,3.362722116,0,44.0734813,0.431297575,4.817626781
Franklin,22041,2,2002,-1.950252915,0.974112753,3.898478421,0,49.54122054,0.404087315,4.854383641
Caldwell,22021,2,2002,-2.737512266,0.50364114,3.744794546,0,50.4339564,0.392521692,4.867655761
Winn,22127,2,2002,-2.865645976,0.543660013,3.952966002,0,51.98398804,0.380617297,4.813021674
Bienville,22013,2,2002,-3.160298718,0.146626457,3.453551632,0,48.82970107,0.374327221,4.373941168
Red River,22081,2,2002,-3.622914397,0.002515626,3.627945649,0,48.9490024,0.362062063,4.264775286
Sabine,22085,2,2002,-4.028106762,-0.051836164,3.924434434,0,50.7211123,0.347110092,4.623276954
Claiborne,22027,2,2002,-3.940138752,-0.600341022,2.739456709,0,47.78001215,0.367933345,4.129790819
