district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Natchitoches,22069,1.0,2023.0,13.832511574594735,17.593087220315294,21.353662866035872,0.11583100240088158,72.48168717165314,0.5884387443469327,4.809400151388186
De Soto,22031,1.0,2023.0,14.204230935618712,18.061845859305123,21.91946078299155,0.06320664786177244,63.81241424485416,0.7802572676357372,4.662163423505044
Caddo,22017,1.0,2023.0,13.179296138747674,17.428862572157353,21.67842900556704,0.04018089790846435,65.71582533336647,0.7282448867230412,5.156447008936504
Bossier,22015,1.0,2023.0,12.724893392785988,16.9684874122052,21.212081431624426,0.014599414152840823,66.6874137720499,0.6886931757692438,4.9694590575753415
Webster,22119,1.0,2023.0,12.41678402644756,16.49099907505143,20.565214123655288,0.0,69.44570674265474,0.6126802011112845,5.102025880639419
Lafourche,22057,1.0,2023.0,12.244896586665394,17.18541297684151,22.125929367017658,0.40294981473869795,77.32665945367835,0.47641270201706776,2.5165088910714406
Terrebonne,22109,1.0,2023.0,13.732112774080685,17.872404663872253,22.012696553663805,0.9636722541851158,75.50360894626586,0.5435960635433468,3.0367599436146566
Ascension,22005,1.0,2023.0,12.248230131088977,17.01062453018956,21.773018929290153,0.007097133596793476,78.64187754853913,0.4961118793949833,2.5742926012774063
Iberville,22047,1.0,2023.0,12.941915203568112,17.42627693499885,21.91063866642958,0.017985302580766173,78.18970683769697,0.5088826292125385,2.508668175115179
West Baton Rouge,22121,1.0,2023.0,12.18729887526757,16.786115414416567,21.384931953565573,0.11979095248617938,80.07758130464539,0.44884747067977976,3.6850364558750206
Pointe Coupee,22077,1.0,2023.0,11.772688396722875,16.393315573681953,21.013942750641018,0.5646426928040544,81.57360177101027,0.3812233778971155,3.6247325862802375
East Baton Rouge,22033,1.0,2023.0,11.334524489087702,16.109510218972993,20.88449594885828,0.06165704437646332,80.60724067358763,0.4028391163854057,3.7837926590913082
West Feliciana,22125,1.0,2023.0,10.563807767168083,15.699606238398902,20.835404709629703,0.9909776443536538,81.61266466925773,0.3302504798969857,4.224044284635462
East Feliciana,22037,1.0,2023.0,10.082800315401297,15.448478763691341,20.81415721198137,0.37925880924665906,80.91583130303422,0.34960306727867946,4.208434897710499
Rapides,22079,1.0,2023.0,13.656665268644254,17.543316526889278,21.429967785134313,0.004038736109947454,76.80716817702239,0.516932307509715,4.76481346980998
Grant,22043,1.0,2023.0,13.34226855428874,17.21522004923569,21.088171544182632,0.10902123524599772,77.71008052698917,0.48113456064020066,4.648515294853026
Concordia,22029,1.0,2023.0,10.773307510903132,16.737852498580754,22.7023974862584,0.0,76.65349541572502,0.5563631290670461,4.12867261746884
St. Helena,22091,1.0,2023.0,9.98207723220669,15.390621975743029,20.799166719279363,0.09357591802259402,80.1835637709796,0.3827136796942372,4.0280242728802875
Livingston,22063,1.0,2023.0,11.06666977400533,16.030074774834926,20.993479775664525,0.0,79.55740819063045,0.43410312114182453,3.5726809116924456
Vernon,22115,1.0,2023.0,14.619363707715243,18.246582439691498,21.87380117166775,0.07618205813856893,70.10392479847644,0.6552503518224732,4.8325234247340605
Beauregard,22011,1.0,2023.0,15.708217756775605,19.271174600389266,22.83413144400292,0.049552203968909525,65.86631852566512,0.7878625483134353,4.049279215737778
St. Martin,22099,1.0,2023.0,14.42809251608308,18.57896738740587,22.72984225872864,0.0,73.78218894722535,0.6222151237009317,2.47906872529754
St. Mary,22101,1.0,2023.0,15.156468922906223,18.45780150468299,21.759134086459778,0.015091864079819294,70.56668380287863,0.6537045778417142,2.8762438065319436
Iberia,22045,1.0,2023.0,15.676619920350545,18.98544106413136,22.29426220791218,0.028038909127991292,67.71749282863247,0.7439083777431188,2.8264261029452644
Vermilion,22113,1.0,2023.0,16.58313471564941,19.534336303128217,22.48553789060706,0.1776445776722027,68.1379207226603,0.7452430704985057,2.9471819227324385
Acadia,22001,1.0,2023.0,14.626733474348626,18.371895399673182,22.11705732499773,0.0,75.50239303090862,0.5624715851669925,3.445451836318713
Lafayette,22055,1.0,2023.0,14.73903429390655,18.713812557440384,22.68859082097422,0.0,73.03874141645794,0.634734700683706,3.3950588943984883
St. Landry,22097,1.0,2023.0,13.264336009936118,17.47366298650572,21.682989963075325,0.08206424964974136,79.10840571878346,0.4796853047859305,3.8830606738418996
Calcasieu,22019,1.0,2023.0,16.159434063462744,19.664957363077004,23.17048066269126,0.03629009621140839,66.9336776760742,0.7810424145574233,2.7704938165670874
Jefferson Davis,22053,1.0,2023.0,15.316584518464584,18.91348191876081,22.510379319057066,0.0,70.73671848182826,0.6709659367095363,3.002295171949055
Cameron,22023,1.0,2023.0,17.016932335763727,19.793072733994908,22.569213132226093,0.0,68.41499932598117,0.7342050598135342,2.720199492998031
Union,22111,1.0,2023.0,11.261283629683406,15.593656081449984,19.92602853321657,0.42451949555855767,78.33336766989915,0.44541844648844997,4.515478677086539
Lincoln,22061,1.0,2023.0,12.08433846069366,16.193567074428433,20.30279568816318,0.18724407990595263,74.9262023352743,0.5100874083087944,4.824079825490377
Ouachita,22073,1.0,2023.0,11.74567947965957,16.13922931902943,20.532779158399276,0.13183334312838996,77.77430599169195,0.47841742626512407,4.5464723553703585
Morehouse,22067,1.0,2023.0,11.532583759115955,15.829819540261026,20.12705532140607,0.30258472650930057,76.90828609946662,0.48564448398960086,4.443960526587493
Jefferson,22051,1.0,2023.0,10.543976603397729,16.24407656553866,21.944176527679588,0.0020900465844141043,78.80556331105959,0.3910208541354398,2.5198934791636987
St. Charles,22089,1.0,2023.0,11.648894051098718,16.335144753690606,21.021395456282487,0.0,80.68753022459725,0.378522036210984,2.0441051192589037
Plaquemines,22075,1.0,2023.0,9.756780122991001,16.13305683534834,22.509333547705722,0.0,78.70091921138295,0.35027078287843905,3.1836037252128224
Orleans,22071,1.0,2023.0,10.743348520814925,15.465018895225802,20.186689269636673,0.016406627234987686,81.22486301831384,0.3089962991987258,2.84082355045977
St. Bernard,22087,1.0,2023.0,10.09221889549485,15.25985548222918,20.42749206896356,0.06089991919936671,79.54662704770675,0.3472087693649495,2.8954706313809253
St. Tammany,22103,1.0,2023.0,9.749486556280042,15.01278219502201,20.27607783376398,0.023669880002106916,81.194703647086,0.28804796397292826,3.7280597095369044
St. John the Baptist,22095,1.0,2023.0,11.20359348314397,16.12550616001944,21.04741883689491,0.0,81.10660777190793,0.3503423912088468,2.1755523360428275
St. James,22093,1.0,2023.0,12.271461443723778,17.018520793388628,21.765580143053484,0.0,79.74675037374462,0.46209573492906586,1.974233977408071
Washington,22117,1.0,2023.0,10.318094359603867,15.935627734962054,21.55316111032026,0.0,78.00496636040114,0.48922398348323703,3.8503145249649116
Tangipahoa,22105,1.0,2023.0,9.567847117994486,15.022636229023904,20.477425340053337,0.0015715138877894959,80.37643205774106,0.3528708302170801,3.5903454601318074
Jackson,22049,1.0,2023.0,12.269710504289996,16.42227625006023,20.57484199583046,0.003657153774312664,75.98639155416537,0.5020780523602104,5.083542774900149
Richland,22083,1.0,2023.0,10.965283858563916,16.142627553944003,21.319971249324084,0.01638453768360897,77.822042648479,0.5149410621192574,4.309928665534887
