district,fips,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd,vs
Codington,46029,1.0,2021.0,-13.561366564688257,-7.907598691533598,-2.2538308183789715,0.0,81.75486565995972,0.0636331819926165,2.699675952673576
Brown,46013,1.0,2021.0,-13.232236812817181,-7.3562563819541,-1.480275951090992,0.0,75.36816392961806,0.13563675856256674,3.469282087458327
Edmunds,46045,1.0,2021.0,-10.834894007515999,-5.21439496594386,0.40610407562822726,0.0,77.73580020332477,0.13367260990787422,2.8103721939759536
Sully,46119,1.0,2021.0,-9.232734308465584,-2.93680893927466,3.3591164299162255,0.0,73.01043461345672,0.21000342225620688,3.5049413730766257
Hughes,46065,1.0,2021.0,-9.83490020585522,-3.2064048309406474,3.4220905439739115,0.0,70.46188224748188,0.22954113554304056,2.9176948243821044
Stanley,46117,1.0,2021.0,-8.373709341745633,-1.7087033378788072,4.956302665987948,0.0,69.52298436746565,0.2581197888714112,3.3873815849190865
Davison,46035,1.0,2021.0,-14.021571531459152,-7.4386670114299935,-0.8557624914008357,0.0,73.62609151398384,0.15563617939771432,1.3459047104600517
Hanson,46061,1.0,2021.0,-14.34664702767644,-7.874818290196512,-1.4029895527165848,0.0,72.50444276647336,0.1540664947638721,1.47452349756506
Beadle,46005,1.0,2021.0,-13.891191522377037,-8.008638097906314,-2.126084673435589,0.0,77.35609089402685,0.10137417913428806,1.7784078534329577
Brookings,46011,1.0,2021.0,-13.902213811777967,-8.024290858249147,-2.1463679047203787,0.0,79.45383847007099,0.0894986994164126,2.7498583980668863
McCook,46087,1.0,2021.0,-14.676827870060462,-8.122466732066686,-1.5681055940729078,0.0,74.564805955,0.1343889486943172,2.3642224532356315
Minnehaha,46099,1.0,2021.0,-14.612644793211286,-7.813288129336971,-1.0139314654626932,0.0,74.85284994419723,0.12932952147834229,2.7743729785479103
Lincoln,46083,1.0,2021.0,-14.422638142836929,-8.642800742839704,-2.8629633428425003,0.0,74.10218855220477,0.131714072416213,2.1354577709626086
Turner,46125,1.0,2021.0,-14.357634699140183,-8.162520764063437,-1.9674068289867075,0.0,72.13871405347074,0.1503379987181035,2.1350265162537343
